ENEL.MI;DOW_JONES;NASDAQ;NIKKEI225
4.523969;21414.33984;6153.080078;20080.98047
4.54322;21408.51953;6176.390137;20195.48047
4.618299;21409.07031;6193.299805;20098.38086
4.610598;21532.14063;6261.169922;20099.81055
4.689528;21553.08984;6274.439941;20118.85938
4.785782;21637.74023;6312.470215;20118.85938
4.783856;21629.7207;6314.430176;19999.91016
4.737654;21574.73047;6344.310059;20020.85938
4.774231;21640.75;6385.040039;20144.58984
4.780007;21611.7793;6390;20099.75
4.735729;21580.07031;6387.75;19975.66992
4.726104;21513.16992;6410.810059;19955.19922
4.765325;21613.42969;6412.169922;20050.16016
4.704532;21711.00977;6422.75;20079.64063
4.763363;21796.55078;6382.189941;19959.83984
4.79474;21830.31055;6374.680176;19925.17969
4.720221;21891.11914;6348.120117;19985.78906
4.730026;21963.91992;6362.939941;20080.03906
4.792779;22016.24023;6362.649902;20029.25977
4.784935;22026.09961;6340.339844;19952.33008
4.843766;22092.81055;6351.560059;20055.89063
4.886909;22118.41992;6383.77002;19996.00977
4.884948;22085.33984;6370.459961;19738.71094
4.912403;22048.69922;6352.330078;19729.74023
4.877104;21844.00977;6216.870117;19729.74023
4.828078;21858.32031;6256.560059;19537.09961
4.792779;21993.71094;6340.22998;19753.31055
4.932013;21998.99023;6333.009766;19729.2793
4.966331;22024.86914;6345.109863;19702.63086
4.932013;21750.73047;6221.910156;19470.41016
4.966331;21674.50977;6216.529785;19393.13086
4.971234;21703.75;6213.129883;19383.83984
4.941818;21899.89063;6297.47998;19434.64063
4.882987;21812.08984;6278.410156;19353.76953
4.981039;21783.40039;6271.330078;19452.60938
4.995747;21813.66992;6265.640137;19449.90039
4.981039;21808.40039;6283.02002;19362.55078
4.932013;21865.36914;6301.890137;19506.53906
4.985941;21892.42969;6368.310059;19646.24023
4.985941;21948.09961;6428.660156;19691.4707
5.03987;21987.56055;6435.330078;19508.25
5.010455;21753.31055;6375.569824;19385.81055
5.015357;21807.64063;6393.310059;19357.9707
5.044773;21784.7793;6397.870117;19396.51953
5.088896;21797.78906;6360.189941;19274.82031
5.074188;22057.36914;6432.259766;19545.76953
5.142825;22118.85938;6454.279785;19776.61914
5.093799;22158.17969;6460.189941;19865.82031
5.05948;22203.48047;6429.080078;19807.43945
5.03987;22268.33984;6448.470215;19909.5
5.005552;22331.34961;6454.640137;19909.5
5.049675;22370.80078;6461.319824;20299.38086
5.03987;22412.58984;6456.040039;20310.46094
5.020259;22359.23047;6422.689941;20347.48047
5.025162;22349.58984;6426.919922;20296.44922
5.000649;22296.08984;6370.589844;20397.58008
4.995747;22284.32031;6380.160156;20330.18945
4.995747;22340.71094;6453.259766;20267.05078
5.010455;22381.19922;6453.450195;20363.10938
4.941818;22405.08984;6495.959961;20356.2793
4.995747;22557.59961;6516.720215;20400.7793
5.010455;22641.66992;6531.709961;20614.07031
4.951623;22661.64063;6534.629883;20626.66016
4.86926;22775.39063;6585.359863;20628.56055
4.946721;22773.66992;6590.180176;20690.71094
4.886909;22761.07031;6579.72998;20690.71094
4.976136;22830.67969;6587.25;20823.50977
5.005552;22872.89063;6603.549805;20881.26953
5.093799;22841.00977;6591.509766;20954.7207
5.064383;22871.7207;6605.799805;21155.17969
5.069286;22956.96094;6624;21255.56055
5.049675;22997.43945;6623.660156;21336.11914
5.083993;23157.59961;6624.220215;21363.05078
5.069286;23163.03906;6605.069824;21448.51953
5.054578;23328.63086;6629.049805;21457.64063
5.079091;23273.96094;6586.830078;21696.65039
5.118311;23441.75977;6598.430176;21805.16992
5.093799;23329.46094;6563.890137;21707.61914
5.020259;23400.85938;6556.77002;21739.7793
5.186948;23434.18945;6701.259766;22008.44922
5.182045;23348.74023;6698.959961;22011.66992
5.216364;23377.24023;6727.669922;22011.60938
5.221266;23435.00977;6716.529785;22420.08008
5.280097;23516.25977;6714.939941;22539.11914
5.260487;23539.18945;6764.439941;22539.11914
5.270292;23548.41992;6786.439941;22548.34961
5.285;23557.23047;6767.779785;22937.59961
